stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100136,3,2,3,3,5,4,4,3,4,4,4,4,5,5,3,5,4,1,1,2,1,1,2300.0,5.0,2,2,2020,5
100137,2,2,3,3,3,2,3,2,4,2,2,5,4,5,4,5,5,1,1,1,1,1,2230.0,7.0,2,2,2020,5
100138,2,3,3,2,3,2,3,2,3,2,2,3,5,5,5,5,5,1,2,1,2,1,2300.0,7.0,2,2,2020,5
100139,1,4,4,2,4,3,4,2,4,2,2,3,4,4,3,3,4,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100140,3,3,3,3,3,4,4,2,3,3,3,2,4,5,4,3,4,1,2,1,2,1,0.0,6.0,3,2,2020,5
100141,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,5,5,1,2,1,2,1,100.0,4.5,4,2,2020,5
100142,1,2,3,3,3,2,3,3,4,2,2,4,5,5,4,5,5,1,2,1,2,1,,8.0,1,2,2020,5
100143,2,2,4,3,3,3,3,3,3,3,2,4,4,3,4,4,4,1,2,1,2,1,2300.0,6.0,2,2,2020,5
100144,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,1,1,2300.0,8.0,1,2,2020,5
100145,1,1,1,1,1,1,1,1,3,1,1,3,4,4,5,4,4,1,1,1,2,1,2200.0,7.0,1,2,2020,5
100146,3,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,1,2,1,1,2300.0,6.0,4,2,2020,5
100147,3,3,2,4,5,3,3,3,3,3,3,3,5,5,4,4,4,1,1,1,1,1,2300.0,8.0,3,2,2020,5
100148,2,2,2,3,3,2,2,2,3,2,2,2,4,4,4,4,3,2,1,1,2,1,0.0,6.5,3,2,2020,5
100149,2,3,1,2,4,2,3,3,3,2,3,2,5,4,5,4,5,1,2,1,2,1,,,1,2,2020,5
100150,2,4,3,3,3,2,2,3,4,3,3,3,3,5,5,3,3,1,2,1,2,1,,,2,2,2020,5
100151,1,1,4,1,4,3,2,1,5,3,2,2,4,5,4,4,5,1,2,1,2,1,0.0,6.0,2,2,2020,5
100152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0.0,9999.0,2,2,2020,5
100153,3,4,1,3,4,1,3,1,3,2,2,2,5,3,2,3,3,1,1,2,2,1,9999.0,7.0,2,2,2020,5
100154,2,2,2,2,2,1,3,2,3,2,1,3,5,5,5,5,5,1,1,1,1,1,9999.0,7.5,1,2,2020,5
100155,1,3,4,4,4,4,3,2,4,3,3,2,4,4,4,4,4,1,1,3,1,1,2300.0,7.0,3,2,2020,5
100156,1,1,1,1,1,1,3,1,4,1,1,4,5,5,3,4,2,1,2,1,2,1,2300.0,7.0,1,2,2020,5
100157,2,3,3,2,3,2,3,2,3,2,2,3,4,4,4,3,3,1,2,1,2,1,2300.0,7.0,2,2,2020,5
100158,1,2,4,2,4,4,4,2,3,1,1,5,4,3,4,3,1,1,2,1,2,1,2330.0,5.0,4,2,2020,5
100159,2,2,2,2,2,3,2,3,3,2,3,2,2,4,3,2,3,2,2,2,2,3,9999.0,6.0,4,2,2020,5
100160,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,9999.0,5.5,1,2,2020,5
100161,3,4,4,4,4,3,4,4,4,4,3,3,4,3,3,2,2,1,1,1,2,1,0.0,5.0,3,2,2020,5
100162,1,1,1,1,1,1,1,1,5,1,1,1,4,5,5,5,5,1,2,1,2,1,2330.0,6.5,4,2,2020,5
100163,3,4,4,4,4,5,3,3,5,3,5,4,5,4,5,3,4,1,1,1,2,1,2330.0,7.0,2,2,2020,5
100164,2,3,2,2,4,4,2,1,5,2,1,3,4,4,3,3,4,1,2,1,2,1,9999.0,7.0,2,2,2020,5
100165,2,2,2,2,2,2,2,2,3,2,2,2,4,4,3,3,3,1,2,1,2,1,2230.0,6.5,2,2,2020,5
100166,3,3,3,4,4,4,4,4,4,3,2,3,4,5,4,4,4,1,2,1,2,1,2200.0,7.5,2,2,2020,5
100167,3,4,5,3,4,3,4,2,4,4,3,2,5,4,4,3,4,1,1,1,1,1,2230.0,7.0,1,2,2020,5
100168,1,2,1,1,3,2,1,1,4,2,2,1,4,1,5,1,1,1,2,1,2,1,0.0,5.0,1,2,2020,5
100169,1,1,1,1,1,1,1,1,3,1,1,4,5,4,3,1,3,1,1,1,1,1,2300.0,7.0,1,2,2020,5
100170,2,3,4,2,4,3,5,3,3,2,3,4,4,4,4,4,4,1,1,1,2,1,2300.0,6.0,1,2,2020,5
100171,2,4,4,3,3,1,3,4,5,3,2,4,5,5,5,5,5,1,2,1,2,1,2330.0,7.5,1,2,2020,5
100172,1,3,3,2,4,2,3,2,5,4,3,3,5,5,5,5,5,1,2,1,2,1,9999.0,8.5,2,2,2020,5
100173,1,2,1,2,4,2,2,3,4,2,1,1,4,3,4,1,2,1,1,3,1,1,9999.0,7.0,1,2,2020,5
