stulD,年份,市,民族,性别,出生年,出生月,身高/cm,体重/kg,肺活量/ml,50米跑/秒,坐位体前屈/cm,立定跳远/cm,1分钟跳绳,立定跳远/跳绳,800米（女）,1000米（男）,800米/1000/50*8,50*8,引体向上（男）,1分钟仰卧起坐（女）
129357,2015,5,1,1,1998,4,182,60.0,4550,7.7,2.0,2.56,,,,3'20,,,12.0,
129358,2015,5,1,2,1998,3,171,53.0,4050,8.0,7.0,2.08,,,3'20,,,,,32.0
129359,2015,5,1,1,1997,8,175,70.0,3480,6.8,12.0,2.6,,,,3'35,,,10.0,
129360,2015,5,1,1,2000,5,170,55.0,2000,6.5,0.0,2.38,,,,3'42,,,2.0,
129361,2015,5,1,1,1999,1,182,65.0,3870,7.12,11.0,2.37,,,,3'29,,,4.0,
129362,2015,5,1,2,1998,9,170,58.0,3050,7.68,5.0,2.04,,,3'24,,,,,35.0
129363,2015,5,1,2,1999,11,163,52.0,2500,8.0,8.0,1.75,,,3'49,,,,,30.0
129364,2015,5,1,1,1997,11,183,77.0,4270,7.32,21.0,2.63,,,,3'41,,,11.0,
129365,2015,5,1,2,1997,6,174,63.0,3550,8.19,6.0,1.98,,,3'40,,,,,29.0
129366,2015,5,1,1,1999,6,182,97.0,4000,7.57,6.0,2.3,,,,3'52,,,10.0,
129367,2015,5,1,1,1997,6,176,63.0,4550,7.65,16.0,2.7,,,,4'10,,,13.0,
129368,2015,5,1,2,2000,6,169,60.0,1500,7.4,4.0,1.9,,,3'27,,,,,30.0
129369,2015,5,1,1,1998,4,175,58.0,3670,7.53,10.0,2.5,,,,4,,,7.0,
129370,2015,5,1,1,1999,5,183,65.0,3460,7.0,12.0,2.64,,,,3'34,,,10.0,
129371,2015,5,1,2,1998,11,173,57.0,3550,8.15,8.0,2.09,,,4'00,,,,,29.0
129372,2015,5,1,1,1999,11,175,85.0,1400,7.68,6.0,2.2,,,,4'56,,,1.0,
129373,2015,5,1,2,1999,3,162,50.0,1900,8.0,15.0,1.99,,,3'20,,,,,38.0
129374,2015,5,1,1,1998,5,175,56.0,2000,6.3,7.0,2.65,,,,3'56,,,5.0,
129375,2015,5,1,2,2000,3,162,52.0,2486,8.0,10.0,1.93,,,3'38,,,,,35.0
129376,2015,5,1,1,1998,8,182,92.0,4050,7.65,21.0,2.28,,,,3'59,,,6.0,
129377,2015,5,1,1,1998,7,178,93.0,5050,7.51,11.0,2.43,,,,3'40,,,15.0,
129378,2015,5,1,1,1998,5,185,75.0,4500,6.3,15.0,2.4,,,,3'20,,,12.0,
129379,2015,5,1,1,1998,12,176,65.0,3840,6.58,12.0,2.65,,,,3'40,,,13.0,
129380,2015,5,1,2,1999,12,170,56.0,2000,8.0,6.0,2.2,,,3'04,,,,,42.0
129381,2015,5,1,1,2000,7,175,55.0,2000,6.3,7.0,2.5,,,,3'30,,,5.0,
129382,2015,5,1,2,1999,4,165,75.0,2500,8.3,6.0,1.7,,,4'00,,,,,35.0
129383,2015,5,1,2,2000,7,157,50.0,1322,7.4,-3.0,2.25,,,3'07,,,,,39.0
129384,2015,5,1,1,2000,6,170,100.0,3100,8.0,-5.0,1.4,,,,5'10,,,0.0,
129385,2015,5,1,2,1997,2,172,50.0,3550,9.35,10.0,2.12,,,3'12,,,,,27.0
129386,2015,5,1,1,2000,3,176,72.0,1452,7.15,1.0,2.04,,,,4'00,,,1.0,
129387,2015,5,1,1,1999,3,175,60.0,3200,7.11,9.0,2.35,,,,4'10,,,11.0,
129388,2015,5,1,1,1999,5,173,80.0,3200,7.58,4.0,2.2,,,,3'55,,,5.0,
129389,2015,5,1,2,1997,9,164,59.0,3300,8.0,8.0,1.99,,,3'22,,,,,30.0
129390,2015,5,1,1,1999,8,177,59.0,3520,6.68,11.0,2.6,,,,3'21,,,12.0,
129391,2015,5,1,1,1999,8,177,55.0,3510,6.59,10.0,2.6,,,,3'36,,,11.0,
129392,2015,5,1,1,1998,11,183,93.0,3410,8.1,9.0,1.9,,,,4,,,1.0,
129393,2015,5,1,1,2000,5,173,52.0,2067,7.12,0.0,2.4,,,,3'52,,,4.0,
129394,2015,5,1,1,1998,4,167,66.0,3840,7.02,14.0,2.4,,,,3'36,,,7.0,
129395,2015,5,1,1,2000,7,175,55.0,1800,6.4,1.0,2.4,,,,3'50,,,2.0,
129396,2015,5,1,1,1999,5,170,59.0,3210,7.1,19.0,2.68,,,,3'48,,,2.0,
129397,2015,5,1,1,2000,2,174,75.0,1970,7.18,12.0,2.0,,,,4'40,,,0.0,
129398,2015,5,1,1,1999,4,173,59.0,4030,7.1,6.0,2.35,,,,3'34,,,7.0,
129399,2015,5,1,1,1998,9,170,68.0,3340,7.9,19.0,2.46,,,,3'49,,,6.0,
129400,2015,5,1,2,1999,4,167,50.0,1710,6.0,12.0,2.1,,,3'29,,,,,32.0
129401,2015,5,1,2,1999,8,162,52.0,1800,8.0,8.0,2.0,,,3'15,,,,,36.0
129402,2015,5,1,2,2000,1,150,55.0,1500,8.4,3.0,1.8,,,4'1,,,,,15.0
129403,2015,5,1,2,2000,4,168,70.0,2775,8.0,5.0,2.01,,,3'27,,,,,36.0
129404,2015,5,1,2,1997,10,167,55.0,3550,8.72,13.0,2.06,,,3'36,,,,,29.0
129405,2015,5,1,2,2000,2,160,45.0,2370,8.3,8.0,1.8,,,3'3,,,,,25.0
129406,2015,5,1,1,1999,7,181,74.0,3640,8.1,8.0,2.36,,,,3'27,,,3.0,
129407,2015,5,1,2,1999,12,162,54.0,1900,8.04,10.0,1.86,,,3'24,,,,,30.0
129408,2015,5,1,1,1999,8,179,68.0,3540,7.4,17.0,2.54,,,,3'25,,,7.0,
129409,2015,5,1,1,1999,3,185,75.0,3680,6.8,16.0,2.56,,,,3'31,,,7.0,
129410,2015,5,1,2,1997,2,165,57.0,2750,7.65,5.0,1.83,,,4'15,,,,,27.0
129411,2015,5,1,2,1998,4,168,83.0,3150,8.65,6.0,2.07,,,4'20,,,,,22.0
129412,2015,5,1,2,2000,10,162,50.0,1500,8.01,10.0,2.0,,,3'25,,,,,28.0
129413,2015,5,1,1,1997,11,185,65.0,3900,6.42,7.0,2.55,,,,3'47,,,7.0,
129414,2015,5,1,1,1999,7,177,75.0,3020,7.0,8.0,2.25,,,,3'40,,,12.0,
129415,2015,5,1,1,1998,3,180,82.0,5050,7.52,12.0,2.78,,,,3'21,,,15.0,
129416,2015,5,1,2,2000,8,163,85.0,2650,8.5,4.0,1.77,,,3'52,,,,,15.0
129417,2015,5,1,1,1999,4,179,67.0,2900,6.11,-3.0,2.6,,,,3'44,,,3.0,
